"4. 1. 5. INFORMATIONS RELATIVES AUX POSTES DU BILAN
ET DU COMPTE DE RÉSULTAT",,,,
"État des contributions et des prises en charge de frais de campagnes électorales (art. 435-17) (Ventilées par catégorie d’élection, type de candidat (tenu ou non de déposer un compte de campagne) et par poste de charges.)",,,,
,,Contributions aux candidats,,-
,,Prise en charge de dépenses électorales,,-
,,,Achats de marchandises et variation de stocks,-
,,,"Congrès, manifestation et université",-
,,,"Communication (presse, publications, télévisions, publicité, sites internet, réseaux sociaux)",-
,,,"Locations, redevances de crédit-bail et charges locatives",-
,,,"Déplacements, missions et réceptions",-
,,,Honoraires,-
,,,Personnels extérieurs,-
,,,Autres achats et charges externes,-
,,,Impôts et taxes,-
,,,Salaires et traitements,-
,,,Charges sociales,-
Élections territoriales,,,,-
,Prestation de services aux candidats tenus de déposer un compte de campagne,,,-
,,Contributions aux candidats,,-
,,Prise en charge de dépenses électorales,,-
,,,Achats de marchandises et variation de stocks,-
,,,"Congrès, manifestation et université",-
,,,"Communication (presse, publications, télévisions, publicité, sites internet, réseaux sociaux)",-
,,,"Locations, redevances de crédit-bail et charges locatives",-
,,,"Déplacements, missions et réceptions",-
,,,Honoraires,-
,,,Personnels extérieurs,-
,,,Autres achats et charges externes,-
,,,Impôts et taxes,-
,,,Salaires et traitements,-
,,,Charges sociales,-
,Prestation de services aux candidats non tenus de déposer un compte de campagne,,,-
,,Contributions aux candidats,,-
,,Prise en charge de dépenses électorales,,-
,,,Achats de marchandises et variation de stocks,-
,,,"Congrès, manifestation et université",-
,,,"Communication (presse, publications, télévisions, publicité, sites internet, réseaux sociaux)",-
,,,"Locations, redevances de crédit-bail et charges locatives",-
,,,"Déplacements, missions et réceptions",-
,,,Honoraires,-
,,,Personnels extérieurs,-
,,,Autres achats et charges externes,-
,,,Impôts et taxes,-
,,,Salaires et traitements,-
,,,Charges sociales,-
Élections législatives,,,,-
,Prestation de services aux candidats tenus de déposer un compte de campagne,,,-
,,Contributions aux candidats,,-
,,Prise en charge de dépenses électorales,,-
,,,Achats de marchandises et variation de stocks,-
,,,"Congrès, manifestation et université",-
,,,"Communication (presse, publications, télévisions, publicité, sites internet, réseaux sociaux)",-
,,,"Locations, redevances de crédit-bail et charges locatives",-
,,,"Déplacements, missions et réceptions",-
,,,Honoraires,-
,,,Personnels extérieurs,-
,,,Autres achats et charges externes,-
,,,Impôts et taxes,-
,,,Salaires et traitements,-
,,,Charges sociales,-
,Prestation de services aux candidats non tenus de déposer un compte de campagne,,,-
,,Contributions aux candidats,,-
,,Prise en charge de dépenses électorales,,-
,,,Achats de marchandises et variation de stocks,-
,,,"Congrès, manifestation et université",-
,,,"Communication (presse, publications, télévisions, publicité, sites internet, réseaux sociaux)",-
,,,"Locations, redevances de crédit-bail et charges locatives",-
,,,"Déplacements, missions et réceptions",-
,,,Honoraires,-
,,,Personnels extérieurs,-
,,,Autres achats et charges externes,-
,,,Impôts et taxes,-
,,,Salaires et traitements,-
,,,Charges sociales,-
Élections sénatoriales,,,,-
,Prestation de services aux candidats tenus de déposer un compte de campagne,,,-
,,Contributions aux candidats,,-
,,Prise en charge de dépenses électorales,,-
,,,Achats de marchandises et variation de stocks,-
,,,"Congrès, manifestation et université",-
,,,"Communication (presse, publications, télévisions, publicité, sites internet, réseaux sociaux)",-
,,,"Locations, redevances de crédit-bail et charges locatives",-
,,,"Déplacements, missions et réceptions",-
,,,Honoraires,-
,,,Personnels extérieurs,-
,,,Autres achats et charges externes,-
,,,Impôts et taxes,-
,,,Salaires et traitements,-
,,,Charges sociales,-
,Prestation de services aux candidats non tenus de déposer un compte de campagne,,,-
,,Contributions aux candidats,,-
,,Prise en charge de dépenses électorales,,-
,,,Achats de marchandises et variation de stocks,-
,,,"Congrès, manifestation et université",-
,,,"Communication (presse, publications, télévisions, publicité, sites internet, réseaux sociaux)",-
,,,"Locations, redevances de crédit-bail et charges locatives",-
,,,"Déplacements, missions et réceptions",-
,,,Honoraires,-
,,,Personnels extérieurs,-
,,,Autres achats et charges externes,-
,,,Impôts et taxes,-
,,,Salaires et traitements,-
,,,Charges sociales,-
Élections européennes,,,,302 725
,Prestation de services aux candidats tenus de déposer un compte de campagne,,,-
,,Contributions aux candidats,,-
,,Prise en charge de dépenses électorales,,-
,,,Achats de marchandises et variation de stocks,68 937
,,,"Congrès, manifestation et université",-
,,,"Communication (presse, publications, télévisions, publicité, sites internet, réseaux sociaux)",-
,,,"Locations, redevances de crédit-bail et charges locatives",58 904
,,,"Déplacements, missions et réceptions",4 340
,,,Honoraires,-
,,,Personnels extérieurs,-
,,,Autres achats et charges externes,19 880
,,,Impôts et taxes,908
,,,Salaires et traitements,77 929
,,,Charges sociales,71 828
,Prestation de services aux candidats non tenus de déposer un compte de campagne,,,-
,,Contributions aux candidats,,-
,,Prise en charge de dépenses électorales,,-
,,,Achats de marchandises et variation de stocks,-
,,,"Congrès, manifestation et université",-
,,,"Communication (presse, publications, télévisions, publicité, sites internet, réseaux sociaux)",-
,,,"Locations, redevances de crédit-bail et charges locatives",-
,,,"Déplacements, missions et réceptions",-
,,,Honoraires,-
,,,Personnels extérieurs,-
,,,Autres achats et charges externes,-
,,,Impôts et taxes,-
,,,Salaires et traitements,-
,,,Charges sociales,-
Élection présidentielle,,,,-
,Prestation de services aux candidats tenus de déposer un compte de campagne,,,-
,,Contributions aux candidats,,-
,,Prise en charge de dépenses électorales,,-
,,,Achats de marchandises et variation de stocks,-
,,,"Congrès, manifestation et université",-
,,,"Communication (presse, publications, télévisions, publicité, sites internet, réseaux sociaux)",-
,,,"Locations, redevances de crédit-bail et charges locatives",-
,,,"Déplacements, missions et réceptions",-
,,,Honoraires,-
,,,Personnels extérieurs,-
,,,Autres achats et charges externes,-
,,,Impôts et taxes,-
,,,Salaires et traitements,-
,,,Charges sociales,-
TOTAL,,,,302 725
